real_name,DRF,DRP,DWC,LCF,gfDWC,gfEMC,goDWC,goEMC,cDWC,cEMC,fDWC,fEMC,oDWC,oEMC
1,1.847039353,2.269334616,14.20213864,1.533635962,1.779229376,8.909965104,0.617223058,5.517474244,1.218108278,6.362873574,1.791447736,3.542800471,0.700198656,8.735981682
2,73.04889732,35.49896209,14.88429738,1.023421934,4.457053155,4.296519814,3.89914718,0.050034336,1.473220596,0.195766739,3.979476906,6.859672714,0.06422207,2.765651362
3,16.51189884,54.61046376,12.12777108,1.074251664,3.9130661,3.43435028,3.353893367,8.453082756,1.839363925,7.345545429,3.612261162,0.242294424,0.796933692,6.15186913
4,46.23542496,9.62528739,7.730403981,1.938791586,4.029593367,8.411394543,3.583015021,5.120501586,3.888569985,7.250138419,3.697993757,0.169964831,1.424237462,8.994934253
5,50.63949583,87.4777821,16.34767177,1.345358301,1.861248145,8.028787584,0.285091362,1.913090107,2.936705938,8.107483113,1.336974098,5.744500893,3.606200297,5.26295119
6,92.51597251,28.34118176,11.85162806,0.534823433,4.398686146,8.635362407,3.469964625,2.133332396,3.951995149,4.454554541,1.4096851,7.660113685,4.310087892,8.205091425
7,18.14328117,98.37068121,17.53323268,1.671971448,4.984788087,9.406581564,4.806811199,1.287613884,3.449221155,3.619002986,0.626019015,2.370115973,3.76356966,0.735656793
8,5.462169427,96.35990486,14.92371865,1.480151687,2.907665716,5.780975462,1.149199741,7.625899899,1.968413406,4.065828072,0.582909043,7.192348406,4.618648612,8.803758139
9,81.90175571,9.30687015,18.38164352,0.900295227,2.70718981,7.719136459,4.433371612,0.985640969,1.831594744,7.632964012,0.3928687,4.606738777,2.933638943,4.056708522
10,50.02758231,46.55308114,1.099382855,0.491658728,4.188771437,0.666717125,2.62335223,5.792286016,0.067024204,9.070375583,2.505145478,2.503011112,3.888345482,9.725793122
11,52.67842775,95.88234694,14.02372962,1.410778328,0.52718762,2.750227658,2.929378905,7.107510511,3.904815535,1.378466139,4.99748627,8.919101518,1.847674681,4.327604973
12,63.43648519,25.59372915,2.861950778,1.924126606,0.761757589,0.832810884,3.061732393,9.534582989,2.129208869,3.820282136,2.829641839,0.801652221,4.107738829,3.24190171
13,36.45839513,83.49447863,11.45257588,0.890228141,1.098487552,7.768415987,0.079044509,1.919545964,0.204845771,6.749486464,2.212110013,2.400128059,3.171876026,0.793793219
14,23.52871239,93.83421591,9.49309282,0.748330353,3.572262304,9.900939796,0.499375326,7.612340419,1.773453927,3.077614572,2.560562496,4.2772708,3.73077681,3.127178994
15,31.21748646,16.71703967,14.67883357,1.824410019,2.117610608,6.857819736,0.446422187,4.403443792,3.426442523,3.358196534,4.22330161,8.750056061,4.359927511,4.429839146
